"NAME_EN","NAME_ES","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Fiji","Fiyi","","","","","","","","","","","","","","","","","","","","","",""
"Tanzania","Tanzania","","","","","","","","","","","","","","","","","","","","","",""
"Western Sahara","Sahara Occidental","","","","","","","","","","","","","","","","","","","","","",""
"Canada","Canadá","41767974","40451914","23323029","35884417","40701307","45229860","46726978","52103547","53718757","52583516","63277409.375339","66078011.954739","70467400.792869","71526725.918431","75528607","80228302","85406425","91404001","91504000","93352000","27620000","24951000"
"United States of America","Estados Unidos","665327414","622187846","598410415","588997110","678110608","720547738","725530965","744302310","701779551","679423408","720497000","730796000","736699000","743171000","762710000","798222000","824039000","849403000","889024000","926737000","369501000","666153000"
"Kazakhstan","Kazajistán","","","","","","","","","","","","","","","","","","","","","",""
"Uzbekistan","Uzbekistán","1744510","2256380","1451004","1465798","1588049","1639276","1665190","1940378","2033933","1850056","2114050","2275947","2593509","2614085","2545935","2486673","2383631","2581865","3056558","3685192","933769","2010914"
"Papua New Guinea","Papúa Nueva Guinea","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Indonesia","9916365","12453812","12113452","12221066","26780550","26835524","29867483","30405918","29766093","27421235","59384361.605798","70912258.109048","79405799.80957","81721356","85215879.509739","90095131","99274010","108393123","115154100.909","91323153","37523686.817","33549828"
"Argentina","Argentina","8915627","5808770","5662905","6036360","6795484","6938436","6611915","7036784","6147290","5694547","9025035.3118736","8590839.8497729","9375669.7396375","11951276.822393","12121912.818","14245183","15076354","16749271","18084553","19461377","3680874","6708097"
"Chile","Chile","5174876","5315623","4986727","5246787","5463753","5939020","6016649","7190963","8021939","8097314","9269026","10949863","12892856","13806283","14347893","15006762","16362437","17664974","19517185","21197759","8019753","10302876"
"Democratic Republic of the Congo","República Democrática del Congo","","","","","","","","","","","","","","","","","","","","","",""
"Somalia","Somalia","","","","","","","","","","","163812.74580862","177005.4","178709.7","258336","251652","","4486","4486","33728.968657989","34065.556846186","",""
"Kenya","Kenia","","","","","","","","","","","","","","","","","","","","","",""
"Sudan","Sudán","414179","414983","409178","420498","473127","510977","563026","598151","617785","606558","580325","947031.45611315","777346.33192403","541644","501864","496177","292843","557792.04","561520","530001","386838","1386967"
"Chad","Chad","77273","46364","","","","","","","","","48519.199657971","74653.8","52041.6","28080","28332","","","","","","",""
"Haiti","Haití","","","","","","","","","","","","","","","","","","","","","23119","23119"
"Dominican Republic","República Dominicana","","","","","","","","","","","19167","28232.1","28442.05","20004","16128","14463","11903","","","113752","31391","69447"
"Russia","Rusia","","","","","","","","","","","","","","","","","","","","","",""
"The Bahamas","Bahamas","1860623","1625689","1543274","1601347","900000","1020000","1033407","1089636","1088876","979042","967914","1056129.5948594","1048391.0668218","576996","991463.32887981","900028","937476","921470","1830394.8620746","1856546","1272798.762","1065149.134"
"Falkland Islands","Islas Malvinas","","","","","","","","","","","","","","","","","","","","","",""
"Norway","Noruega","15182305","14556181","13699204","12805757","12277222","","","","","","","","","","","","","","","","",""
"Greenland","Groenlandia","","","","","","","","","","","","","","","","","","","","","",""
"French Southern and Antarctic Lands","Tierras Australes y Antárticas Francesas","","","","","","","","","","","","","","","","","","","","","",""
"East Timor","Timor Oriental","","","","","","","","","","","","","","","","","","","","","",""
"South Africa","Sudáfrica","8000757","7948374","8052660","9159815","9878598","11844657","12932671","12870324","13135437","12503629","15781210","16407784.957168","17571565.203215","16311250","17026643.219122","18882898","19744932","20821044","24660386","26211258","8304771.044","9321575.836"
"Lesotho","Lesoto","","","","","","","","","","","","","","","","","","","","","",""
"Mexico","México","20894205","20172824","19618662","20661206","21167881","21857658","21243010","20952513","18825976","15728171","31269061","29538937","32909408.724554","35986501.817","39570522","46966763","53313307","58537832","64569640","69937838","34133108","54217876"
"Uruguay","Uruguay","642027","558563","525049","463884","564149","586458","568864","602996","612644","563632","","","","","","","","","","","",""
"Brazil","Brasil","31287784","34285574","35889538","32372040","35263795","37661733","40945038","45286990","58763225","67945578","74627064","87860363","94752568","95591641","100403628","102039359","94142377","96395709","102109977","102917546","45405756","61896523"
"Bolivia","Bolivia","1756608","1557128","1508700","1770774","1824313","1892343","1443165","1744663","1718196","1537032","1781340","2125912.5265979","2206069.7606697","2027888","3563043.5828127","4115271","3678739","4053427.35","4122113","4066959","2627202.201","4311879.56"
